#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;37.4;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.91;38.6;0.28;PP/0.03,TA/0.01,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
119.88;38.98;0.33;PP/0.04,TA/0.02,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
179.96;38.98;0.37;PP/0.04,TA/0.02,IS/0,PS/0,RB/0.01,OB/0.03,RP/0
240;39.34;0.4;PP/0.04,TA/0.02,IS/0,PS/0,RB/0.01,OB/0.04,RP/0
299.82;39.68;0.43;PP/0.05,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
359.84;39.68;0.47;PP/0.05,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.07,RP/0
419.89;39.97;0.51;PP/0.05,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
479.76;39.98;0.53;PP/0.06,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
539.64;40.13;0.54;PP/0.06,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
599.6;40.27;0.56;PP/0.07,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
659.7;40.27;0.58;PP/0.08,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
719.8;39.89;0.61;PP/0.08,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
779.99;39.89;0.62;PP/0.08,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
840;39.89;0.64;PP/0.09,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
899.99;39.89;0.66;PP/0.09,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
959.98;39.89;0.68;PP/0.1,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1019.84;39.89;0.71;PP/0.11,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1079.84;40.05;0.73;PP/0.11,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1139.97;40.05;0.75;PP/0.12,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1199.98;40.05;0.76;PP/0.12,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1259.63;40.19;0.78;PP/0.12,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1319.77;40.19;0.8;PP/0.13,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1379.79;40.19;0.81;PP/0.13,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1439.94;40.34;0.83;PP/0.13,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.09,RP/0
1499.75;40.34;0.85;PP/0.14,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1559.98;40.45;0.88;PP/0.14,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1619.86;40.45;0.9;PP/0.15,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1679.75;40.45;0.93;PP/0.16,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1739.8;40.61;0.94;PP/0.17,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1799.94;40.61;0.96;PP/0.17,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1859.64;40.61;0.98;PP/0.18,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.1,RP/0
1919.99;40.74;1.01;PP/0.18,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
1979.73;40.74;1.02;PP/0.18,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2039.64;40.74;1.04;PP/0.19,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2099.74;40.83;1.07;PP/0.2,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2159.59;40.83;1.09;PP/0.2,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2219.88;40.83;1.1;PP/0.2,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2279.92;40.95;1.12;PP/0.21,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2339.64;40.95;1.15;PP/0.22,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2399.63;41.05;1.18;PP/0.22,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2459.7;41.05;1.2;PP/0.23,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2519.87;41.05;1.22;PP/0.23,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.11,RP/0
2579.93;40.26;1.24;PP/0.23,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2639.87;40.26;1.26;PP/0.24,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2699.74;40.26;1.28;PP/0.24,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2759.58;40.26;1.29;PP/0.25,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2819.99;40.26;1.3;PP/0.25,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2879.95;40.26;1.32;PP/0.25,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2939.9;40.26;1.34;PP/0.25,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
2999.84;40.36;1.36;PP/0.26,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
3059.9;40.36;1.38;PP/0.26,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
3119.69;40.36;1.4;PP/0.27,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
3179.92;40.47;1.41;PP/0.27,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
3239.96;40.47;1.43;PP/0.28,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
3299.69;40.47;1.45;PP/0.28,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.12,RP/0
3359.64;40.42;1.47;PP/0.29,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3419.96;40.42;1.49;PP/0.29,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3479.88;40.42;1.51;PP/0.29,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3539.98;40.41;1.52;PP/0.29,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3599.96;40.41;1.55;PP/0.3,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3659.73;40.41;1.57;PP/0.3,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3719.77;40.52;1.59;PP/0.31,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3779.99;40.52;1.61;PP/0.31,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3839.99;40.65;1.64;PP/0.32,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3899.86;40.65;1.66;PP/0.32,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
3959.83;40.65;1.68;PP/0.33,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
4019.96;40.54;1.7;PP/0.33,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
4079.82;40.54;1.72;PP/0.33,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
4139.6;40.54;1.74;PP/0.34,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
4199.97;40.54;1.76;PP/0.34,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.13,RP/0
4259.96;40.54;1.78;PP/0.35,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4320;40.7;1.8;PP/0.35,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4379.6;40.7;1.82;PP/0.35,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4439.65;40.7;1.83;PP/0.35,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4499.75;40.7;1.85;PP/0.36,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4559.98;40.86;1.87;PP/0.36,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4619.93;40.86;1.89;PP/0.37,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4679.91;40.86;1.9;PP/0.37,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4739.97;40.69;1.92;PP/0.38,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4799.82;40.69;1.95;PP/0.38,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4859.97;40.69;1.97;PP/0.39,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4919.61;40.69;1.99;PP/0.39,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
4979.67;40.69;2.01;PP/0.4,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
5039.95;40.83;2.03;PP/0.4,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
5099.86;40.83;2.04;PP/0.4,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
5159.67;40.83;2.06;PP/0.4,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
5219.92;40.83;2.08;PP/0.41,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.14,RP/0
5279.85;40.93;2.1;PP/0.42,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5339.98;40.93;2.12;PP/0.42,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5399.63;40.93;2.13;PP/0.42,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5459.76;41.04;2.15;PP/0.43,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5519.99;41.04;2.17;PP/0.43,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5579.69;41.04;2.19;PP/0.44,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5639.98;41.18;2.21;PP/0.44,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5699.89;41.18;2.22;PP/0.44,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5759.75;41.18;2.24;PP/0.45,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5820;40.84;2.26;PP/0.45,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5879.84;40.84;2.28;PP/0.45,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5939.62;40.84;2.29;PP/0.45,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
5999.63;40.84;2.31;PP/0.46,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
6059.62;40.84;2.34;PP/0.47,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
6119.94;40.84;2.36;PP/0.48,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.15,RP/0
6180;41.01;2.39;PP/0.48,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
6239.8;41.01;2.41;PP/0.48,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
6299.75;41.01;2.42;PP/0.48,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
6359.64;41.01;2.44;PP/0.49,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
6419.98;41.1;2.46;PP/0.49,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
6479.88;41.1;2.48;PP/0.5,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
6539.73;41.1;2.5;PP/0.5,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.16,RP/0
